,Antecedent,Consequent,Confidence_score
4754,"('1/9/2011 10:43', '540501')","('13162.0',)",1.0
4755,"('13162.0', '540501')","('1/9/2011 10:43',)",1.0
4756,"('541018',)","('1/13/2011 12:03', '14978.0')",1.0
4757,"('1/13/2011 12:03', '14978.0')","('541018',)",1.0
4758,"('1/13/2011 12:03', '541018')","('14978.0',)",1.0
4759,"('14978.0', '541018')","('1/13/2011 12:03',)",1.0
4760,"('541103',)","('1/13/2011 14:24', '14215.0')",1.0
4761,"('1/13/2011 14:24',)","('14215.0', '541103')",1.0
4762,"('1/13/2011 14:24', '14215.0')","('541103',)",1.0
4763,"('1/13/2011 14:24', '541103')","('14215.0',)",1.0
4764,"('14215.0', '541103')","('1/13/2011 14:24',)",1.0
4765,"('18106.0',)","('1/14/2011 12:23', '541205')",1.0
4766,"('541205',)","('1/14/2011 12:23', '18106.0')",1.0
4767,"('1/14/2011 12:23',)","('18106.0', '541205')",1.0
4768,"('1/14/2011 12:23', '18106.0')","('541205',)",1.0
4769,"('1/14/2011 12:23', '541205')","('18106.0',)",1.0
4770,"('18106.0', '541205')","('1/14/2011 12:23',)",1.0
4771,"('541524',)","('1/19/2011 10:49', '17091.0')",1.0
4772,"('1/19/2011 10:49',)","('17091.0', '541524')",1.0
4773,"('1/19/2011 10:49', '17091.0')","('541524',)",1.0
4774,"('1/19/2011 10:49', '541524')","('17091.0',)",1.0
4775,"('17091.0', '541524')","('1/19/2011 10:49',)",1.0
4776,"('BEADED CRYSTAL HEART BLUE  LARGE',)","('0.79',)",0.8108108108108109
4777,"('541838',)","('1/23/2011 10:43', '12916.0')",1.0
4778,"('1/23/2011 10:43',)","('12916.0', '541838')",1.0
4779,"('1/23/2011 10:43', '12916.0')","('541838',)",1.0
4780,"('1/23/2011 10:43', '541838')","('12916.0',)",1.0
4781,"('12916.0', '541838')","('1/23/2011 10:43',)",1.0
4782,"('542646',)","('1/31/2011 11:42', '17220.0')",1.0
4783,"('1/31/2011 11:42',)","('17220.0', '542646')",1.0
4784,"('1/31/2011 11:42', '17220.0')","('542646',)",1.0
4785,"('1/31/2011 11:42', '542646')","('17220.0',)",1.0
4786,"('17220.0', '542646')","('1/31/2011 11:42',)",1.0
4787,"('543179',)","('1', '12754.0')",1.0
4788,"('1', '12754.0')","('543179',)",0.7551020408163265
4789,"('1', '543179')","('12754.0',)",1.0
4790,"('12754.0', '543179')","('1',)",1.0
4791,"('17843.0',)","('2/9/2011 15:33', '543543')",1.0
4792,"('543543',)","('17843.0', '2/9/2011 15:33')",1.0
4793,"('2/9/2011 15:33',)","('17843.0', '543543')",1.0
4794,"('17843.0', '2/9/2011 15:33')","('543543',)",1.0
4795,"('17843.0', '543543')","('2/9/2011 15:33',)",1.0
4796,"('2/9/2011 15:33', '543543')","('17843.0',)",1.0
4797,"('17255.0',)","('2/13/2011 15:18', '543815')",1.0
4798,"('543815',)","('17255.0', '2/13/2011 15:18')",1.0
4799,"('2/13/2011 15:18',)","('17255.0', '543815')",1.0
4800,"('17255.0', '2/13/2011 15:18')","('543815',)",1.0
4801,"('17255.0', '543815')","('2/13/2011 15:18',)",1.0
4802,"('2/13/2011 15:18', '543815')","('17255.0',)",1.0
4803,"('544193',)","('12431.0', '2/17/2011 8:23')",1.0
4804,"('2/17/2011 8:23',)","('12431.0', '544193')",1.0
4805,"('12431.0', '2/17/2011 8:23')","('544193',)",1.0
4806,"('12431.0', '544193')","('2/17/2011 8:23',)",1.0
4807,"('2/17/2011 8:23', '544193')","('12431.0',)",1.0
4808,"('14157.0',)","('2/27/2011 13:04', '545059')",0.9736842105263158
4809,"('545059',)","('14157.0', '2/27/2011 13:04')",1.0
4810,"('2/27/2011 13:04',)","('14157.0', '545059')",1.0
4811,"('14157.0', '2/27/2011 13:04')","('545059',)",1.0
4812,"('14157.0', '545059')","('2/27/2011 13:04',)",1.0
4813,"('2/27/2011 13:04', '545059')","('14157.0',)",1.0
4814,"('545377',)","('14606.0', '3/2/2011 11:32')",1.0
4815,"('3/2/2011 11:32',)","('14606.0', '545377')",1.0
4816,"('14606.0', '3/2/2011 11:32')","('545377',)",1.0
4817,"('14606.0', '545377')","('3/2/2011 11:32',)",1.0
4818,"('3/2/2011 11:32', '545377')","('14606.0',)",1.0
4819,"('3/4/2011 13:14',)","('14995.0', '545649')",0.9487179487179487
4820,"('545649',)","('14995.0', '3/4/2011 13:14')",1.0
4821,"('14995.0',)","('3/4/2011 13:14', '545649')",1.0
4822,"('14995.0', '3/4/2011 13:14')","('545649',)",1.0
4823,"('14995.0', '545649')","('3/4/2011 13:14',)",1.0
4824,"('3/4/2011 13:14', '545649')","('14995.0',)",1.0
4825,"('545660',)","('17191.0', '3/4/2011 14:28')",1.0
4826,"('3/4/2011 14:28',)","('17191.0', '545660')",1.0
4827,"('17191.0', '3/4/2011 14:28')","('545660',)",1.0
4828,"('17191.0', '545660')","('3/4/2011 14:28',)",1.0
4829,"('3/4/2011 14:28', '545660')","('17191.0',)",1.0
4830,"('3/7/2011 12:26',)","('14214.0',)",0.7708333333333334
4831,"('545812',)","('14214.0', '3/7/2011 12:26')",1.0
4832,"('14214.0', '3/7/2011 12:26')","('545812',)",1.0
4833,"('14214.0', '545812')","('3/7/2011 12:26',)",1.0
4834,"('3/7/2011 12:26', '545812')","('14214.0',)",1.0
4835,"('3/7/2011 13:33',)","('1', '14606.0')",0.868421052631579
4836,"('545838',)","('1', '14606.0', '3/7/2011 13:33')",0.8918918918918919
4837,"('14606.0', '3/7/2011 13:33')","('1',)",0.8918918918918919
4838,"('14606.0', '545838')","('1', '3/7/2011 13:33')",0.8918918918918919
4839,"('3/7/2011 13:33', '545838')","('1', '14606.0')",0.8918918918918919
4840,"('1', '3/7/2011 13:33')","('14606.0',)",1.0
4841,"('1', '545838')","('14606.0', '3/7/2011 13:33')",1.0
4842,"('1', '14606.0', '3/7/2011 13:33')","('545838',)",1.0
4843,"('1', '14606.0', '545838')","('3/7/2011 13:33',)",1.0
4844,"('1', '3/7/2011 13:33', '545838')","('14606.0',)",1.0
4845,"('14606.0', '3/7/2011 13:33', '545838')","('1',)",0.8918918918918919
4846,"('546421',)","('13700.0', '3/13/2011 11:21')",1.0
4847,"('3/13/2011 11:21',)","('13700.0', '546421')",1.0
4848,"('13700.0', '3/13/2011 11:21')","('546421',)",1.0
4849,"('13700.0', '546421')","('3/13/2011 11:21',)",1.0
4850,"('3/13/2011 11:21', '546421')","('13700.0',)",1.0
4851,"('16216.0',)","('3/17/2011 15:34', '546862')",1.0
4852,"('546862',)","('16216.0', '3/17/2011 15:34')",1.0
4853,"('3/17/2011 15:34',)","('16216.0', '546862')",1.0
4854,"('16216.0', '3/17/2011 15:34')","('546862',)",1.0
4855,"('16216.0', '546862')","('3/17/2011 15:34',)",1.0
4856,"('3/17/2011 15:34', '546862')","('16216.0',)",1.0
4857,"('3/22/2011 16:08',)","('16721.0', '547389')",0.8222222222222222
4858,"('547389',)","('16721.0', '3/22/2011 16:08')",1.0
4859,"('16721.0',)","('3/22/2011 16:08', '547389')",1.0
4860,"('16721.0', '3/22/2011 16:08')","('547389',)",1.0
4861,"('16721.0', '547389')","('3/22/2011 16:08',)",1.0
4862,"('3/22/2011 16:08', '547389')","('16721.0',)",1.0
4863,"('16777.0',)","('1',)",0.8125
4864,"('547872',)","('1', '16777.0', '3/27/2011 14:34')",0.8108108108108109
4865,"('1', '16777.0')","('3/27/2011 14:34', '547872')",0.7692307692307693
4866,"('1', '547872')","('16777.0', '3/27/2011 14:34')",1.0
4867,"('16777.0', '547872')","('1', '3/27/2011 14:34')",0.8108108108108109
4868,"('3/27/2011 14:34',)","('1', '16777.0', '547872')",0.8108108108108109
4869,"('16777.0', '3/27/2011 14:34')","('1', '547872')",0.8108108108108109
4870,"('3/27/2011 14:34', '547872')","('1', '16777.0')",0.8108108108108109
4871,"('1', '3/27/2011 14:34')","('16777.0', '547872')",1.0
4872,"('1', '16777.0', '3/27/2011 14:34')","('547872',)",1.0
4873,"('1', '16777.0', '547872')","('3/27/2011 14:34',)",1.0
4874,"('1', '3/27/2011 14:34', '547872')","('16777.0',)",1.0
4875,"('16777.0', '3/27/2011 14:34', '547872')","('1',)",0.8108108108108109
4876,"('547969',)","('17238.0', '3/28/2011 16:27')",1.0
4877,"('3/28/2011 16:27',)","('17238.0', '547969')",1.0
4878,"('17238.0', '3/28/2011 16:27')","('547969',)",1.0
4879,"('17238.0', '547969')","('3/28/2011 16:27',)",1.0
4880,"('3/28/2011 16:27', '547969')","('17238.0',)",1.0
4881,"('16142.0',)","('4/4/2011 10:16', '548732')",1.0
4882,"('548732',)","('16142.0', '4/4/2011 10:16')",1.0
4883,"('4/4/2011 10:16',)","('16142.0', '548732')",1.0
4884,"('16142.0', '4/4/2011 10:16')","('548732',)",1.0
4885,"('16142.0', '548732')","('4/4/2011 10:16',)",1.0
4886,"('4/4/2011 10:16', '548732')","('16142.0',)",1.0
4887,"('548874',)","('17716.0', '4/4/2011 15:18')",1.0
4888,"('4/4/2011 15:18',)","('17716.0', '548874')",1.0
4889,"('17716.0', '4/4/2011 15:18')","('548874',)",1.0
4890,"('17716.0', '548874')","('4/4/2011 15:18',)",1.0
4891,"('4/4/2011 15:18', '548874')","('17716.0',)",1.0
4892,"('549558',)","('1', '15058.0', '4/10/2011 13:21')",0.8378378378378378
4893,"('1', '549558')","('15058.0', '4/10/2011 13:21')",1.0
4894,"('15058.0', '549558')","('1', '4/10/2011 13:21')",0.8378378378378378
4895,"('4/10/2011 13:21',)","('1', '15058.0', '549558')",0.8378378378378378
4896,"('15058.0', '4/10/2011 13:21')","('1', '549558')",0.8378378378378378
4897,"('4/10/2011 13:21', '549558')","('1', '15058.0')",0.8378378378378378
4898,"('1', '4/10/2011 13:21')","('15058.0', '549558')",1.0
4899,"('1', '15058.0', '4/10/2011 13:21')","('549558',)",1.0
4900,"('1', '15058.0', '549558')","('4/10/2011 13:21',)",1.0
4901,"('1', '4/10/2011 13:21', '549558')","('15058.0',)",1.0
4902,"('15058.0', '4/10/2011 13:21', '549558')","('1',)",0.8378378378378378
4903,"('549713',)","('17611.0', '4/11/2011 14:11')",1.0
4904,"('4/11/2011 14:11',)","('17611.0', '549713')",1.0
4905,"('17611.0', '4/11/2011 14:11')","('549713',)",1.0
4906,"('17611.0', '549713')","('4/11/2011 14:11',)",1.0
4907,"('4/11/2011 14:11', '549713')","('17611.0',)",1.0
4908,"('549833',)","('13458.0', '4/12/2011 13:19')",1.0
4909,"('4/12/2011 13:19',)","('13458.0', '549833')",1.0
4910,"('13458.0', '4/12/2011 13:19')","('549833',)",1.0
4911,"('13458.0', '549833')","('4/12/2011 13:19',)",1.0
4912,"('4/12/2011 13:19', '549833')","('13458.0',)",1.0
4913,"('549874',)","('16919.0', '4/12/2011 15:23')",1.0
4914,"('4/12/2011 15:23',)","('16919.0', '549874')",1.0
4915,"('16919.0', '4/12/2011 15:23')","('549874',)",1.0
4916,"('16919.0', '549874')","('4/12/2011 15:23',)",1.0
4917,"('4/12/2011 15:23', '549874')","('16919.0',)",1.0
4918,"('550513',)","('16928.0', '4/18/2011 16:37')",1.0
4919,"('4/18/2011 16:37',)","('16928.0', '550513')",1.0
4920,"('16928.0', '4/18/2011 16:37')","('550513',)",1.0
4921,"('16928.0', '550513')","('4/18/2011 16:37',)",1.0
4922,"('4/18/2011 16:37', '550513')","('16928.0',)",1.0
4923,"('551193',)","('17954.0', '4/27/2011 11:05')",1.0
4924,"('4/27/2011 11:05',)","('17954.0', '551193')",1.0
4925,"('17954.0', '4/27/2011 11:05')","('551193',)",1.0
4926,"('17954.0', '551193')","('4/27/2011 11:05',)",1.0
4927,"('4/27/2011 11:05', '551193')","('17954.0',)",1.0
4928,"('551656',)","('14911.0', '5/3/2011 12:10')",1.0
4929,"('5/3/2011 12:10',)","('14911.0', '551656')",1.0
4930,"('14911.0', '5/3/2011 12:10')","('551656',)",1.0
4931,"('14911.0', '551656')","('5/3/2011 12:10',)",1.0
4932,"('5/3/2011 12:10', '551656')","('14911.0',)",1.0
4933,"('551953',)","('13448.0', '5/5/2011 11:53')",1.0
4934,"('5/5/2011 11:53',)","('13448.0', '551953')",1.0
4935,"('13448.0', '5/5/2011 11:53')","('551953',)",1.0
4936,"('13448.0', '551953')","('5/5/2011 11:53',)",1.0
4937,"('5/5/2011 11:53', '551953')","('13448.0',)",1.0
4938,"('552446',)","('16729.0', '5/9/2011 13:28')",1.0
4939,"('5/9/2011 13:28',)","('16729.0', '552446')",1.0
4940,"('16729.0', '5/9/2011 13:28')","('552446',)",1.0
4941,"('16729.0', '552446')","('5/9/2011 13:28',)",1.0
4942,"('5/9/2011 13:28', '552446')","('16729.0',)",1.0
4943,"('552652',)","('14591.0', '5/10/2011 14:09')",1.0
4944,"('14591.0',)","('5/10/2011 14:09', '552652')",1.0
4945,"('14591.0', '5/10/2011 14:09')","('552652',)",1.0
4946,"('14591.0', '552652')","('5/10/2011 14:09',)",1.0
4947,"('5/10/2011 14:09', '552652')","('14591.0',)",1.0
4948,"('553229',)","('15039.0', '5/16/2011 10:50')",1.0
4949,"('5/16/2011 10:50',)","('15039.0', '553229')",1.0
4950,"('15039.0', '5/16/2011 10:50')","('553229',)",1.0
4951,"('15039.0', '553229')","('5/16/2011 10:50',)",1.0
4952,"('5/16/2011 10:50', '553229')","('15039.0',)",1.0
4953,"('554157',)","('18283.0', '5/23/2011 11:33')",1.0
4954,"('5/23/2011 11:33',)","('18283.0', '554157')",1.0
4955,"('18283.0', '5/23/2011 11:33')","('554157',)",1.0
4956,"('18283.0', '554157')","('5/23/2011 11:33',)",1.0
4957,"('5/23/2011 11:33', '554157')","('18283.0',)",1.0
4958,"('554663',)","('14985.0', '5/25/2011 14:29')",1.0
4959,"('5/25/2011 14:29',)","('14985.0', '554663')",1.0
4960,"('14985.0', '5/25/2011 14:29')","('554663',)",1.0
4961,"('14985.0', '554663')","('5/25/2011 14:29',)",1.0
4962,"('5/25/2011 14:29', '554663')","('14985.0',)",1.0
4963,"('554979',)","('16931.0', '5/29/2011 11:34')",1.0
4964,"('5/29/2011 11:34',)","('16931.0', '554979')",1.0
4965,"('16931.0', '5/29/2011 11:34')","('554979',)",1.0
4966,"('16931.0', '554979')","('5/29/2011 11:34',)",1.0
4967,"('5/29/2011 11:34', '554979')","('16931.0',)",1.0
4968,"('556542',)","('14719.0', '6/13/2011 12:52')",1.0
4969,"('6/13/2011 12:52',)","('14719.0',)",0.7872340425531915
4970,"('14719.0', '556542')","('6/13/2011 12:52',)",1.0
4971,"('14719.0', '6/13/2011 12:52')","('556542',)",1.0
4972,"('556542', '6/13/2011 12:52')","('14719.0',)",1.0
4973,"('556778',)","('16712.0', '6/14/2011 12:41')",1.0
4974,"('6/14/2011 12:41',)","('16712.0', '556778')",1.0
4975,"('16712.0', '556778')","('6/14/2011 12:41',)",1.0
4976,"('16712.0', '6/14/2011 12:41')","('556778',)",1.0
4977,"('556778', '6/14/2011 12:41')","('16712.0',)",1.0
4978,"('557123',)","('15555.0', '6/16/2011 17:56')",1.0
4979,"('6/16/2011 17:56',)","('15555.0', '557123')",1.0
4980,"('15555.0', '557123')","('6/16/2011 17:56',)",1.0
4981,"('15555.0', '6/16/2011 17:56')","('557123',)",1.0
4982,"('557123', '6/16/2011 17:56')","('15555.0',)",1.0
4983,"('558067',)","('14156.0', '6/24/2011 15:51')",1.0
4984,"('6/24/2011 15:51',)","('14156.0',)",1.0
4985,"('14156.0', '558067')","('6/24/2011 15:51',)",1.0
4986,"('14156.0', '6/24/2011 15:51')","('558067',)",0.9024390243902439
4987,"('558067', '6/24/2011 15:51')","('14156.0',)",1.0
4988,"('558416',)","('16059.0', '6/29/2011 10:50')",1.0
4989,"('16059.0', '558416')","('6/29/2011 10:50',)",1.0
4990,"('16059.0', '6/29/2011 10:50')","('558416',)",1.0
4991,"('558416', '6/29/2011 10:50')","('16059.0',)",1.0
4992,"('558501',)","('13871.0', '6/30/2011 10:19')",1.0
4993,"('6/30/2011 10:19',)","('13871.0', '558501')",1.0
4994,"('13871.0', '558501')","('6/30/2011 10:19',)",1.0
4995,"('13871.0', '6/30/2011 10:19')","('558501',)",1.0
4996,"('558501', '6/30/2011 10:19')","('13871.0',)",1.0
4997,"('558991',)","('1', '14606.0', '7/5/2011 11:32')",0.8648648648648649
4998,"('1', '558991')","('14606.0', '7/5/2011 11:32')",1.0
4999,"('14606.0', '558991')","('1', '7/5/2011 11:32')",0.8648648648648649
5000,"('7/5/2011 11:32',)","('1', '14606.0', '558991')",0.8648648648648649
5001,"('14606.0', '7/5/2011 11:32')","('1', '558991')",0.8648648648648649
5002,"('558991', '7/5/2011 11:32')","('1', '14606.0')",0.8648648648648649
5003,"('1', '7/5/2011 11:32')","('14606.0', '558991')",1.0
5004,"('1', '14606.0', '558991')","('7/5/2011 11:32',)",1.0
5005,"('1', '14606.0', '7/5/2011 11:32')","('558991',)",1.0
5006,"('1', '558991', '7/5/2011 11:32')","('14606.0',)",1.0
5007,"('14606.0', '558991', '7/5/2011 11:32')","('1',)",0.8648648648648649
5008,"('559107',)","('15334.0', '7/6/2011 11:22')",1.0
5009,"('7/6/2011 11:22',)","('15334.0', '559107')",1.0
5010,"('15334.0', '559107')","('7/6/2011 11:22',)",1.0
5011,"('15334.0', '7/6/2011 11:22')","('559107',)",1.0
5012,"('559107', '7/6/2011 11:22')","('15334.0',)",1.0
5013,"('559256',)","('15249.0', '7/7/2011 12:10')",1.0
5014,"('7/7/2011 12:10',)","('15249.0', '559256')",1.0
5015,"('15249.0', '559256')","('7/7/2011 12:10',)",1.0
5016,"('15249.0', '7/7/2011 12:10')","('559256',)",1.0
5017,"('559256', '7/7/2011 12:10')","('15249.0',)",1.0
5018,"('14459.0',)","('559311', '7/7/2011 13:35')",1.0
5019,"('559311',)","('14459.0', '7/7/2011 13:35')",1.0
5020,"('7/7/2011 13:35',)","('14459.0', '559311')",1.0
5021,"('14459.0', '559311')","('7/7/2011 13:35',)",1.0
5022,"('14459.0', '7/7/2011 13:35')","('559311',)",1.0
5023,"('559311', '7/7/2011 13:35')","('14459.0',)",1.0
5024,"('559513',)","('14534.0', '7/8/2011 15:56')",1.0
5025,"('7/8/2011 15:56',)","('14534.0', '559513')",1.0
5026,"('14534.0', '559513')","('7/8/2011 15:56',)",1.0
5027,"('14534.0', '7/8/2011 15:56')","('559513',)",1.0
5028,"('559513', '7/8/2011 15:56')","('14534.0',)",1.0
5029,"('559641',)","('13184.0', '7/11/2011 12:31')",1.0
5030,"('7/11/2011 12:31',)","('13184.0', '559641')",1.0
5031,"('13184.0', '559641')","('7/11/2011 12:31',)",1.0
5032,"('13184.0', '7/11/2011 12:31')","('559641',)",1.0
5033,"('559641', '7/11/2011 12:31')","('13184.0',)",1.0
5034,"('559813',)","('18272.0', '7/12/2011 15:42')",1.0
5035,"('7/12/2011 15:42',)","('18272.0', '559813')",1.0
5036,"('18272.0', '559813')","('7/12/2011 15:42',)",1.0
5037,"('18272.0', '7/12/2011 15:42')","('559813',)",1.0
5038,"('559813', '7/12/2011 15:42')","('18272.0',)",1.0
5039,"('560569',)","('12480.0', '7/19/2011 14:04')",1.0
5040,"('7/19/2011 14:04',)","('12480.0', '560569')",1.0
5041,"('12480.0', '560569')","('7/19/2011 14:04',)",1.0
5042,"('12480.0', '7/19/2011 14:04')","('560569',)",1.0
5043,"('560569', '7/19/2011 14:04')","('12480.0',)",1.0
5044,"('561388',)","('12753.0', '7/27/2011 9:32')",1.0
5045,"('7/27/2011 9:32',)","('12753.0', '561388')",1.0
5046,"('12753.0', '561388')","('7/27/2011 9:32',)",1.0
5047,"('12753.0', '7/27/2011 9:32')","('561388',)",1.0
5048,"('561388', '7/27/2011 9:32')","('12753.0',)",1.0
5049,"('561519',)","('1', '17870.0', '7/27/2011 17:01')",0.8378378378378378
5050,"('1', '561519')","('17870.0', '7/27/2011 17:01')",1.0
5051,"('17870.0', '561519')","('1', '7/27/2011 17:01')",0.8378378378378378
5052,"('7/27/2011 17:01',)","('1', '17870.0', '561519')",0.8378378378378378
5053,"('17870.0', '7/27/2011 17:01')","('1', '561519')",0.8378378378378378
5054,"('561519', '7/27/2011 17:01')","('1', '17870.0')",0.8378378378378378
5055,"('1', '7/27/2011 17:01')","('17870.0', '561519')",1.0
5056,"('1', '17870.0', '561519')","('7/27/2011 17:01',)",1.0
5057,"('1', '17870.0', '7/27/2011 17:01')","('561519',)",1.0
5058,"('1', '561519', '7/27/2011 17:01')","('17870.0',)",1.0
5059,"('17870.0', '561519', '7/27/2011 17:01')","('1',)",0.8378378378378378
5060,"('561534',)","('14307.0', '7/28/2011 9:45')",1.0
5061,"('7/28/2011 9:45',)","('14307.0', '561534')",1.0
5062,"('14307.0', '561534')","('7/28/2011 9:45',)",1.0
5063,"('14307.0', '7/28/2011 9:45')","('561534',)",1.0
5064,"('561534', '7/28/2011 9:45')","('14307.0',)",1.0
5065,"('562210',)","('13486.0', '8/3/2011 13:10')",1.0
5066,"('8/3/2011 13:10',)","('13486.0', '562210')",1.0
5067,"('13486.0', '562210')","('8/3/2011 13:10',)",1.0
5068,"('13486.0', '8/3/2011 13:10')","('562210',)",1.0
5069,"('562210', '8/3/2011 13:10')","('13486.0',)",1.0
5070,"('562283',)","('15249.0', '8/4/2011 10:43')",1.0
5071,"('8/4/2011 10:43',)","('15249.0', '562283')",1.0
5072,"('15249.0', '562283')","('8/4/2011 10:43',)",1.0
5073,"('15249.0', '8/4/2011 10:43')","('562283',)",1.0
5074,"('562283', '8/4/2011 10:43')","('15249.0',)",1.0
5075,"('562716',)","('14257.0', '8/8/2011 15:35')",1.0
5076,"('8/8/2011 15:35',)","('14257.0', '562716')",1.0
5077,"('14257.0', '562716')","('8/8/2011 15:35',)",1.0
5078,"('14257.0', '8/8/2011 15:35')","('562716',)",1.0
5079,"('562716', '8/8/2011 15:35')","('14257.0',)",1.0
5080,"('562784',)","('16791.0', '8/9/2011 13:22')",1.0
5081,"('16791.0', '562784')","('8/9/2011 13:22',)",1.0
5082,"('16791.0', '8/9/2011 13:22')","('562784',)",1.0
5083,"('562784', '8/9/2011 13:22')","('16791.0',)",1.0
5084,"('563288',)","('12656.0', '8/15/2011 12:53')",1.0
5085,"('8/15/2011 12:53',)","('12656.0', '563288')",1.0
5086,"('12656.0', '563288')","('8/15/2011 12:53',)",1.0
5087,"('12656.0', '8/15/2011 12:53')","('563288',)",1.0
5088,"('563288', '8/15/2011 12:53')","('12656.0',)",1.0
5089,"('563328',)","('14606.0', '8/15/2011 13:07')",1.0
5090,"('8/15/2011 13:07',)","('14606.0', '563328')",1.0
5091,"('14606.0', '563328')","('8/15/2011 13:07',)",1.0
5092,"('14606.0', '8/15/2011 13:07')","('563328',)",1.0
5093,"('563328', '8/15/2011 13:07')","('14606.0',)",1.0
5094,"('563569',)","('18257.0', '8/17/2011 14:47')",1.0
5095,"('8/17/2011 14:47',)","('18257.0', '563569')",1.0
5096,"('18257.0', '563569')","('8/17/2011 14:47',)",1.0
5097,"('18257.0', '8/17/2011 14:47')","('563569',)",1.0
5098,"('563569', '8/17/2011 14:47')","('18257.0',)",1.0
5099,"('564483',)","('14050.0', '8/25/2011 13:46')",1.0
5100,"('14050.0',)","('564483', '8/25/2011 13:46')",1.0
5101,"('14050.0', '564483')","('8/25/2011 13:46',)",1.0
5102,"('14050.0', '8/25/2011 13:46')","('564483',)",1.0
5103,"('564483', '8/25/2011 13:46')","('14050.0',)",1.0
5104,"('564648',)","('15641.0', '8/26/2011 14:04')",1.0
5105,"('8/26/2011 14:04',)","('15641.0', '564648')",1.0
5106,"('15641.0', '564648')","('8/26/2011 14:04',)",1.0
5107,"('15641.0', '8/26/2011 14:04')","('564648',)",1.0
5108,"('564648', '8/26/2011 14:04')","('15641.0',)",1.0
5109,"('564716',)","('14810.0', '8/28/2011 11:02')",1.0
5110,"('8/28/2011 11:02',)","('14810.0', '564716')",1.0
5111,"('14810.0', '564716')","('8/28/2011 11:02',)",1.0
5112,"('14810.0', '8/28/2011 11:02')","('564716',)",1.0
5113,"('564716', '8/28/2011 11:02')","('14810.0',)",1.0
5114,"('565122',)","('13069.0', '9/1/2011 11:48')",1.0
5115,"('9/1/2011 11:48',)","('13069.0', '565122')",1.0
5116,"('13069.0', '565122')","('9/1/2011 11:48',)",1.0
5117,"('13069.0', '9/1/2011 11:48')","('565122',)",1.0
5118,"('565122', '9/1/2011 11:48')","('13069.0',)",1.0
5119,"('12739.0',)","('565218', '9/1/2011 17:45')",0.9736842105263158
5120,"('565218',)","('12739.0', '9/1/2011 17:45')",1.0
5121,"('9/1/2011 17:45',)","('12739.0', '565218')",1.0
5122,"('12739.0', '565218')","('9/1/2011 17:45',)",1.0
5123,"('12739.0', '9/1/2011 17:45')","('565218',)",1.0
5124,"('565218', '9/1/2011 17:45')","('12739.0',)",1.0
5125,"('565366',)","('17091.0', '9/2/2011 14:56')",1.0
5126,"('9/2/2011 14:56',)","('17091.0',)",1.0
5127,"('17091.0', '565366')","('9/2/2011 14:56',)",1.0
5128,"('17091.0', '9/2/2011 14:56')","('565366',)",0.9736842105263158
5129,"('565366', '9/2/2011 14:56')","('17091.0',)",1.0
5130,"('565421',)","('16744.0', '9/4/2011 12:10')",1.0
5131,"('9/4/2011 12:10',)","('16744.0', '565421')",1.0
5132,"('16744.0', '565421')","('9/4/2011 12:10',)",1.0
5133,"('16744.0', '9/4/2011 12:10')","('565421',)",1.0
5134,"('565421', '9/4/2011 12:10')","('16744.0',)",1.0
5135,"('565442',)","('12627.0', '9/4/2011 14:09')",1.0
5136,"('9/4/2011 14:09',)","('12627.0', '565442')",1.0
5137,"('12627.0', '565442')","('9/4/2011 14:09',)",1.0
5138,"('12627.0', '9/4/2011 14:09')","('565442',)",1.0
5139,"('565442', '9/4/2011 14:09')","('12627.0',)",1.0
5140,"('566025',)","('17634.0', '9/8/2011 12:55')",1.0
5141,"('9/8/2011 12:55',)","('17634.0', '566025')",1.0
5142,"('17634.0', '566025')","('9/8/2011 12:55',)",1.0
5143,"('17634.0', '9/8/2011 12:55')","('566025',)",1.0
5144,"('566025', '9/8/2011 12:55')","('17634.0',)",1.0
5145,"('566079',)","('17593.0', '9/9/2011 9:52')",1.0
5146,"('9/9/2011 9:52',)","('17593.0', '566079')",1.0
5147,"('17593.0', '566079')","('9/9/2011 9:52',)",1.0
5148,"('17593.0', '9/9/2011 9:52')","('566079',)",1.0
5149,"('566079', '9/9/2011 9:52')","('17593.0',)",1.0
5150,"('13375.0',)","('566317', '9/12/2011 10:19')",0.9736842105263158
5151,"('566317',)","('13375.0', '9/12/2011 10:19')",1.0
5152,"('9/12/2011 10:19',)","('13375.0', '566317')",1.0
5153,"('13375.0', '566317')","('9/12/2011 10:19',)",1.0
5154,"('13375.0', '9/12/2011 10:19')","('566317',)",1.0
5155,"('566317', '9/12/2011 10:19')","('13375.0',)",1.0
5156,"('566554',)","('13136.0', '9/13/2011 11:39')",1.0
5157,"('9/13/2011 11:39',)","('13136.0', '566554')",1.0
5158,"('13136.0', '566554')","('9/13/2011 11:39',)",1.0
5159,"('13136.0', '9/13/2011 11:39')","('566554',)",1.0
5160,"('566554', '9/13/2011 11:39')","('13136.0',)",1.0
5161,"('12822.0',)","('566580', '9/13/2011 13:46')",0.7872340425531915
5162,"('566580',)","('12822.0', '9/13/2011 13:46')",1.0
5163,"('9/13/2011 13:46',)","('12822.0', '566580')",1.0
5164,"('12822.0', '566580')","('9/13/2011 13:46',)",1.0
5165,"('12822.0', '9/13/2011 13:46')","('566580',)",1.0
5166,"('566580', '9/13/2011 13:46')","('12822.0',)",1.0
5167,"('567095',)","('17049.0', '9/16/2011 13:03')",1.0
